Hour,Solar PV Generation (MW),Solar PV Curtailment (MW),Wind Generation (MW),Wind Curtailment (MW),Gas CC Generation (MW),Power from Storage and Gas CC to Storage (MW)
1,0.0,0.0,29.50707,0.0,35544.31464757253,15059.18978757252
2,0.0,0.0,31.0234,0.0,35544.31464757253,15979.275147572533
3,0.0,0.0,33.44055,0.0,35544.31464757253,16398.46231757253
4,0.0,0.0,34.26875,0.0,35544.31464757253,16658.695567572533
5,0.0,0.0,34.48154999999998,0.0,35544.31464757253,16674.18193757253
6,0.0,0.0,36.64954999999998,0.0,35544.31464757253,16406.059657572536
7,5.823500000000003,-8.881784197001252e-16,41.84509,0.0,35544.31464757253,15760.578047572519
8,35.84129999999999,7.105427357601002e-15,47.49746999999999,0.0,35544.31464757253,15645.561957572514
9,50.9297,0.0,45.23943000000001,0.0,35544.31464757253,15868.051277572522
10,49.16229999999998,7.105427357601002e-15,37.75961000000002,0.0,35544.31464757253,16581.10331757253
11,45.72770000000001,0.0,34.78082000000001,0.0,35544.31464757253,17147.344527572524
12,44.81409999999999,7.105427357601002e-15,34.46739,0.0,35544.31464757253,17768.488247572503
13,47.81639999999999,-7.105427357601002e-15,34.01043000000001,0.0,35544.31464757253,18214.48073757252
14,50.93830000000001,0.0,33.35014999999999,0.0,35544.31464757253,18200.43352757253
15,44.55970000000001,0.0,35.68835000000001,0.0,35544.31464757253,17552.400087572532
16,15.1131,3.552713678800501e-15,39.62131999999999,0.0,35544.31464757253,16539.11573757253
17,0.0,0.0,43.80209999999998,0.0,35544.31464757253,14392.524037572526
18,0.0,0.0,46.63408,0.0,35544.31464757253,10881.933107572535
19,0.0,0.0,48.94752999999999,0.0,35544.31464757253,10253.736767572525
20,0.0,0.0,53.88113000000001,0.0,35544.31464757253,10310.597607572527
21,0.0,0.0,56.57862999999998,0.0,35544.31464757253,10343.574007572519
22,0.0,0.0,57.57194,0.0,23307.472279432,-1101.3518505679967
23,0.0,0.0,58.1062,0.0,0.0,-22836.73186
24,0.0,0.0,58.60583999999999,0.0,0.0,-21111.8546
