Hour,Technology,Charging power (MW),Discharging power (MW),State of charge (MWh)
1,Li-Ion,0.0,0.0,0.0
1,CAES,0.0,0.0,0.0
1,PHS,46991.329,36747.219,0.0
1,H2,0.0,0.0,0.0
2,Li-Ion,0.0,0.0,0.0
2,CAES,0.0,0.0,0.0
2,PHS,48531.962,37369.283,658.94618
2,H2,0.0,0.0,0.0
3,Li-Ion,0.0,0.0,0.0
3,CAES,0.0,0.0,0.0
3,PHS,55789.724,44210.276,0.0
3,H2,0.0,0.0,0.0
4,Li-Ion,0.0,0.0,0.0
4,CAES,0.0,0.0,0.0
4,PHS,54306.669,42467.815,0.0
4,H2,0.0,0.0,0.0
5,Li-Ion,0.0,0.0,0.0
5,CAES,0.0,0.0,0.0
5,PHS,51721.68,39867.553,654.52463
5,H2,0.0,0.0,0.0
6,Li-Ion,0.0,0.0,0.0
6,CAES,0.0,0.0,0.0
6,PHS,55791.919,44208.081,0.0
6,H2,0.0,0.0,0.0
7,Li-Ion,0.0,0.0,0.0
7,CAES,0.0,0.0,0.0
7,PHS,44171.247,33243.91,1467.8203
7,H2,0.0,0.0,0.0
8,Li-Ion,0.0,0.0,0.0
8,CAES,0.0,0.0,0.0
8,PHS,55388.325,44611.675,0.0
8,H2,0.0,0.0,0.0
9,Li-Ion,0.0,0.0,0.0
9,CAES,0.0,0.0,0.0
9,PHS,48250.822,37264.513,528.80908
9,H2,0.0,0.0,0.0
10,Li-Ion,0.0,0.0,0.0
10,CAES,0.0,0.0,0.0
10,PHS,55854.304,44145.696,0.0
10,H2,0.0,0.0,0.0
11,Li-Ion,0.0,0.0,0.0
11,CAES,0.0,0.0,0.0
11,PHS,56140.632,43859.368,48.179324
11,H2,0.0,0.0,0.0
12,Li-Ion,0.0,0.0,0.0
12,CAES,0.0,0.0,0.0
12,PHS,56451.817,43548.183,723.43944
12,H2,0.0,0.0,0.0
13,Li-Ion,0.0,0.0,0.0
13,CAES,0.0,0.0,0.0
13,PHS,56673.54,43326.46,1845.5027
13,H2,0.0,0.0,0.0
14,Li-Ion,0.0,0.0,0.0
14,CAES,0.0,0.0,0.0
14,PHS,56665.286,43334.714,2950.9322
14,H2,0.0,0.0,0.0
15,Li-Ion,0.0,0.0,0.0
15,CAES,0.0,0.0,0.0
15,PHS,56343.29,43656.71,3407.4949
15,H2,0.0,0.0,0.0
16,Li-Ion,0.0,0.0,0.0
16,CAES,0.0,0.0,0.0
16,PHS,55849.404,44150.596,2868.8116
16,H2,0.0,0.0,0.0
17,Li-Ion,0.0,0.0,0.0
17,CAES,0.0,0.0,0.0
17,PHS,54781.574,45218.426,178.30638
17,H2,0.0,0.0,0.0
18,Li-Ion,0.0,0.0,0.0
18,CAES,0.0,0.0,0.0
18,PHS,28474.329,22424.603,0.0
18,H2,0.0,0.0,0.0
19,Li-Ion,0.0,0.0,0.0
19,CAES,0.0,0.0,0.0
19,PHS,24858.79,19439.574,0.0
19,H2,0.0,0.0,0.0
20,Li-Ion,0.0,0.0,0.0
20,CAES,0.0,0.0,0.0
20,PHS,5471.1435,0.0,4838.174
20,H2,0.0,0.0,0.0
21,Li-Ion,0.0,0.0,0.0
21,CAES,0.0,0.0,0.0
21,PHS,44861.727,39360.305,0.0
21,H2,0.0,0.0,0.0
22,Li-Ion,0.0,0.0,0.0
22,CAES,0.0,0.0,0.0
22,PHS,28863.971,22571.625,0.0
22,H2,0.0,0.0,0.0
23,Li-Ion,0.0,0.0,0.0
23,CAES,0.0,0.0,0.0
23,PHS,25261.753,17397.849,2665.1827
23,H2,0.0,0.0,0.0
24,Li-Ion,0.0,0.0,0.0
24,CAES,0.0,0.0,0.0
24,PHS,54794.141,45205.859,0.0
24,H2,0.0,0.0,0.0
25,Li-Ion,0.0,0.0,0.0
25,CAES,0.0,0.0,0.0
25,PHS,48887.698,38230.18,0.0
25,H2,0.0,0.0,0.0
26,Li-Ion,0.0,0.0,0.0
26,CAES,0.0,0.0,0.0
26,PHS,50409.467,38957.018,523.78301
26,H2,0.0,0.0,0.0
27,Li-Ion,0.0,0.0,0.0
27,CAES,0.0,0.0,0.0
27,PHS,55856.798,44143.202,0.0
27,H2,0.0,0.0,0.0
28,Li-Ion,0.0,0.0,0.0
28,CAES,0.0,0.0,0.0
28,PHS,53307.114,41686.163,0.0
28,H2,0.0,0.0,0.0
29,Li-Ion,0.0,0.0,0.0
29,CAES,0.0,0.0,0.0
29,PHS,49179.689,38458.517,0.0
29,H2,0.0,0.0,0.0
30,Li-Ion,0.0,0.0,0.0
30,CAES,0.0,0.0,0.0
30,PHS,42729.735,33414.653,0.0
30,H2,0.0,0.0,0.0
31,Li-Ion,0.0,0.0,0.0
31,CAES,0.0,0.0,0.0
31,PHS,34014.993,26599.725,0.0
31,H2,0.0,0.0,0.0
32,Li-Ion,0.0,0.0,0.0
32,CAES,0.0,0.0,0.0
32,PHS,28115.814,21986.566,0.0
32,H2,0.0,0.0,0.0
33,Li-Ion,0.0,0.0,0.0
33,CAES,0.0,0.0,0.0
33,PHS,26679.3,20863.213,0.0
33,H2,0.0,0.0,0.0
34,Li-Ion,0.0,0.0,0.0
34,CAES,0.0,0.0,0.0
34,PHS,29783.045,23290.341,0.0
34,H2,0.0,0.0,0.0
35,Li-Ion,0.0,0.0,0.0
35,CAES,0.0,0.0,0.0
35,PHS,34118.074,26680.334,0.0
35,H2,0.0,0.0,0.0
36,Li-Ion,0.0,0.0,0.0
36,CAES,0.0,0.0,0.0
36,PHS,38335.901,29978.674,0.0
36,H2,0.0,0.0,0.0
37,Li-Ion,0.0,0.0,0.0
37,CAES,0.0,0.0,0.0
37,PHS,27204.759,18310.963,3350.8237
37,H2,0.0,0.0,0.0
38,Li-Ion,0.0,0.0,0.0
38,CAES,0.0,0.0,0.0
38,PHS,54453.895,45546.105,0.0
38,H2,0.0,0.0,0.0
39,Li-Ion,0.0,0.0,0.0
39,CAES,0.0,0.0,0.0
39,PHS,38954.867,30462.706,0.0
39,H2,0.0,0.0,0.0
40,Li-Ion,0.0,0.0,0.0
40,CAES,0.0,0.0,0.0
40,PHS,10122.892,2591.7058,6020.9771
40,H2,0.0,0.0,0.0
41,Li-Ion,0.0,0.0,0.0
41,CAES,0.0,0.0,0.0
41,PHS,53128.846,46871.154,0.0
41,H2,0.0,0.0,0.0
42,Li-Ion,0.0,0.0,0.0
42,CAES,0.0,0.0,0.0
42,PHS,3304.1243,0.0,2921.8624
42,H2,0.0,0.0,0.0
43,Li-Ion,0.0,0.0,0.0
43,CAES,0.0,0.0,0.0
43,PHS,2608.5793,0.0,5228.649
43,H2,0.0,0.0,0.0
44,Li-Ion,0.0,0.0,0.0
44,CAES,0.0,0.0,0.0
44,PHS,35616.72,32476.009,0.0
44,H2,0.0,0.0,0.0
45,Li-Ion,0.0,0.0,0.0
45,CAES,0.0,0.0,0.0
45,PHS,15783.725,12342.873,0.0
45,H2,0.0,0.0,0.0
46,Li-Ion,0.0,0.0,0.0
46,CAES,0.0,0.0,0.0
46,PHS,19614.6,15338.617,0.0
46,H2,0.0,0.0,0.0
47,Li-Ion,0.0,0.0,0.0
47,CAES,0.0,0.0,0.0
47,PHS,26878.851,21019.262,0.0
47,H2,0.0,0.0,0.0
48,Li-Ion,0.0,0.0,0.0
48,CAES,0.0,0.0,0.0
48,PHS,7584.3024,0.0,6706.8565
48,H2,0.0,0.0,0.0
49,Li-Ion,0.0,0.0,0.0
49,CAES,0.0,0.0,0.0
49,PHS,54475.503,45524.497,3399.5752
49,H2,0.0,0.0,0.0
50,Li-Ion,0.0,0.0,0.0
50,CAES,0.0,0.0,0.0
50,PHS,49754.525,40031.199,2129.4738
50,H2,0.0,0.0,0.0
51,Li-Ion,0.0,0.0,0.0
51,CAES,0.0,0.0,0.0
51,PHS,55059.983,44940.017,0.0
51,H2,0.0,0.0,0.0
52,Li-Ion,0.0,0.0,0.0
52,CAES,0.0,0.0,0.0
52,PHS,46497.82,36361.295,0.0
52,H2,0.0,0.0,0.0
53,Li-Ion,0.0,0.0,0.0
53,CAES,0.0,0.0,0.0
53,PHS,43158.189,33749.704,0.0
53,H2,0.0,0.0,0.0
54,Li-Ion,0.0,0.0,0.0
54,CAES,0.0,0.0,0.0
54,PHS,37108.968,29019.213,0.0
54,H2,0.0,0.0,0.0
55,Li-Ion,0.0,0.0,0.0
55,CAES,0.0,0.0,0.0
