Hour,Technology,Charging power (MW),Discharging power (MW),State of charge (MWh)
55,PHS,5820.322,0.0,5146.9552
55,H2,0.0,0.0,0.0
56,Li-Ion,0.0,0.0,0.0
56,CAES,0.0,0.0,0.0
56,PHS,8311.2243,4043.3877,7924.2576
56,H2,0.0,0.0,0.0
57,Li-Ion,0.0,0.0,0.0
57,CAES,0.0,0.0,0.0
57,PHS,52184.354,47815.646,0.0
57,H2,0.0,0.0,0.0
58,Li-Ion,0.0,0.0,0.0
58,CAES,0.0,0.0,0.0
58,PHS,24387.489,19071.017,0.0
58,H2,0.0,0.0,0.0
59,Li-Ion,0.0,0.0,0.0
59,CAES,0.0,0.0,0.0
59,PHS,28903.494,22602.532,0.0
59,H2,0.0,0.0,0.0
60,Li-Ion,0.0,0.0,0.0
60,CAES,0.0,0.0,0.0
60,PHS,14491.349,7294.8122,4565.6312
60,H2,0.0,0.0,0.0
61,Li-Ion,0.0,0.0,0.0
61,CAES,0.0,0.0,0.0
61,PHS,53851.054,46148.946,0.0
61,H2,0.0,0.0,0.0
62,Li-Ion,0.0,0.0,0.0
62,CAES,0.0,0.0,0.0
62,PHS,13709.965,6181.5485,5133.5575
62,H2,0.0,0.0,0.0
63,Li-Ion,0.0,0.0,0.0
63,CAES,0.0,0.0,0.0
63,PHS,53569.223,46430.777,0.0
63,H2,0.0,0.0,0.0
64,Li-Ion,0.0,0.0,0.0
64,CAES,0.0,0.0,0.0
64,PHS,18563.349,11495.188,3416.6287
64,H2,0.0,0.0,0.0
65,Li-Ion,0.0,0.0,0.0
65,CAES,0.0,0.0,0.0
65,PHS,5877.8689,0.0,8614.473
65,H2,0.0,0.0,0.0
66,Li-Ion,0.0,0.0,0.0
66,CAES,0.0,0.0,0.0
66,PHS,51841.838,48158.162,0.0
66,H2,0.0,0.0,0.0
67,Li-Ion,0.0,0.0,0.0
67,CAES,0.0,0.0,0.0
67,PHS,14920.196,11667.593,0.0
67,H2,0.0,0.0,0.0
68,Li-Ion,0.0,0.0,0.0
68,CAES,0.0,0.0,0.0
68,PHS,3193.7869,0.0,2824.2902
68,H2,0.0,0.0,0.0
69,Li-Ion,0.0,0.0,0.0
69,CAES,0.0,0.0,0.0
69,PHS,3193.342,0.0,5648.1869
69,H2,0.0,0.0,0.0
70,Li-Ion,0.0,0.0,0.0
70,CAES,0.0,0.0,0.0
70,PHS,41691.486,37597.477,0.0
70,H2,0.0,0.0,0.0
71,Li-Ion,0.0,0.0,0.0
71,CAES,0.0,0.0,0.0
71,PHS,27267.549,21323.223,0.0
71,H2,0.0,0.0,0.0
72,Li-Ion,0.0,0.0,0.0
72,CAES,0.0,0.0,0.0
72,PHS,36593.011,28615.735,0.0
72,H2,0.0,0.0,0.0
73,Li-Ion,0.0,0.0,0.0
73,CAES,0.0,0.0,0.0
73,PHS,25533.759,16302.061,4144.8677
73,H2,0.0,0.0,0.0
74,Li-Ion,0.0,0.0,0.0
74,CAES,0.0,0.0,0.0
74,PHS,55008.894,44991.106,1912.4415
74,H2,0.0,0.0,0.0
75,Li-Ion,0.0,0.0,0.0
75,CAES,0.0,0.0,0.0
75,PHS,55167.684,44832.316,0.0
75,H2,0.0,0.0,0.0
76,Li-Ion,0.0,0.0,0.0
76,CAES,0.0,0.0,0.0
76,PHS,47576.999,37205.213,0.0
76,H2,0.0,0.0,0.0
77,Li-Ion,0.0,0.0,0.0
77,CAES,0.0,0.0,0.0
77,PHS,44702.097,34957.04,0.0
77,H2,0.0,0.0,0.0
78,Li-Ion,0.0,0.0,0.0
78,CAES,0.0,0.0,0.0
78,PHS,37907.766,29643.873,0.0
78,H2,0.0,0.0,0.0
79,Li-Ion,0.0,0.0,0.0
79,CAES,0.0,0.0,0.0
79,PHS,26576.23,20782.612,0.0
79,H2,0.0,0.0,0.0
80,Li-Ion,0.0,0.0,0.0
80,CAES,0.0,0.0,0.0
80,PHS,20874.245,16323.659,0.0
80,H2,0.0,0.0,0.0
81,Li-Ion,0.0,0.0,0.0
81,CAES,0.0,0.0,0.0
81,PHS,20594.718,16105.07,0.0
81,H2,0.0,0.0,0.0
82,Li-Ion,0.0,0.0,0.0
82,CAES,0.0,0.0,0.0
82,PHS,5054.1668,0.0,4469.4383
82,H2,0.0,0.0,0.0
83,Li-Ion,0.0,0.0,0.0
83,CAES,0.0,0.0,0.0
83,PHS,45975.128,39904.909,0.0
83,H2,0.0,0.0,0.0
84,Li-Ion,0.0,0.0,0.0
84,CAES,0.0,0.0,0.0
84,PHS,32488.23,25405.796,0.0
84,H2,0.0,0.0,0.0
85,Li-Ion,0.0,0.0,0.0
85,CAES,0.0,0.0,0.0
85,PHS,16967.237,9279.3745,4510.8787
85,H2,0.0,0.0,0.0
86,Li-Ion,0.0,0.0,0.0
86,CAES,0.0,0.0,0.0
86,PHS,53878.224,46121.776,0.0
86,H2,0.0,0.0,0.0
87,Li-Ion,0.0,0.0,0.0
87,CAES,0.0,0.0,0.0
87,PHS,7559.0772,0.0,6684.5497
87,H2,0.0,0.0,0.0
88,Li-Ion,0.0,0.0,0.0
88,CAES,0.0,0.0,0.0
88,PHS,53702.707,46297.293,1819.9797
88,H2,0.0,0.0,0.0
89,Li-Ion,0.0,0.0,0.0
89,CAES,0.0,0.0,0.0
89,PHS,34758.996,28790.957,0.0
89,H2,0.0,0.0,0.0
90,Li-Ion,0.0,0.0,0.0
90,CAES,0.0,0.0,0.0
90,PHS,3739.6637,0.0,3307.0132
90,H2,0.0,0.0,0.0
91,Li-Ion,0.0,0.0,0.0
91,CAES,0.0,0.0,0.0
91,PHS,28570.49,25266.54,0.0
91,H2,0.0,0.0,0.0
92,Li-Ion,0.0,0.0,0.0
92,CAES,0.0,0.0,0.0
92,PHS,17210.91,13458.932,0.0
92,H2,0.0,0.0,0.0
93,Li-Ion,0.0,0.0,0.0
93,CAES,0.0,0.0,0.0
93,PHS,18594.008,14540.514,0.0
93,H2,0.0,0.0,0.0
94,Li-Ion,0.0,0.0,0.0
94,CAES,0.0,0.0,0.0
94,PHS,4935.4996,0.0,4364.5
94,H2,0.0,0.0,0.0
95,Li-Ion,0.0,0.0,0.0
95,CAES,0.0,0.0,0.0
95,PHS,48230.681,41575.953,0.0
95,H2,0.0,0.0,0.0
96,Li-Ion,0.0,0.0,0.0
96,CAES,0.0,0.0,0.0
96,PHS,39387.32,30800.884,0.0
96,H2,0.0,0.0,0.0
97,Li-Ion,0.0,0.0,0.0
97,CAES,0.0,0.0,0.0
97,PHS,44733.501,34981.598,0.0
97,H2,0.0,0.0,0.0
98,Li-Ion,0.0,0.0,0.0
98,CAES,0.0,0.0,0.0
98,PHS,44003.777,33217.396,1349.7086
98,H2,0.0,0.0,0.0
99,Li-Ion,0.0,0.0,0.0
99,CAES,0.0,0.0,0.0
99,PHS,55446.937,44553.063,0.0
99,H2,0.0,0.0,0.0
100,Li-Ion,0.0,0.0,0.0
100,CAES,0.0,0.0,0.0
100,PHS,38289.541,27253.616,3040.5773
100,H2,0.0,0.0,0.0
101,Li-Ion,0.0,0.0,0.0
101,CAES,0.0,0.0,0.0
101,PHS,55570.54,44429.46,1939.945
101,H2,0.0,0.0,0.0
102,Li-Ion,0.0,0.0,0.0
102,CAES,0.0,0.0,0.0
102,PHS,55154.036,44845.964,0.0
102,H2,0.0,0.0,0.0
103,Li-Ion,0.0,0.0,0.0
103,CAES,0.0,0.0,0.0
103,PHS,9090.6316,0.0,8038.915
103,H2,0.0,0.0,0.0
104,Li-Ion,0.0,0.0,0.0
104,CAES,0.0,0.0,0.0
104,PHS,54035.042,45964.958,3844.0452
104,H2,0.0,0.0,0.0
105,Li-Ion,0.0,0.0,0.0
105,CAES,0.0,0.0,0.0
105,PHS,46703.18,39921.205,0.0
105,H2,0.0,0.0,0.0
106,Li-Ion,0.0,0.0,0.0
106,CAES,0.0,0.0,0.0
106,PHS,26813.129,20967.867,0.0
106,H2,0.0,0.0,0.0
107,Li-Ion,0.0,0.0,0.0
107,CAES,0.0,0.0,0.0
107,PHS,25468.841,19916.634,0.0
107,H2,0.0,0.0,0.0
108,Li-Ion,0.0,0.0,0.0
108,CAES,0.0,0.0,0.0
108,PHS,26645.829,20837.038,0.0
108,H2,0.0,0.0,0.0
109,Li-Ion,0.0,0.0,0.0
109,CAES,0.0,0.0,0.0
109,PHS,5882.9404,0.0,5202.3291
109,H2,0.0,0.0,0.0
110,Li-Ion,0.0,0.0,0.0
110,CAES,0.0,0.0,0.0
110,PHS,21702.527,15690.147,6651.1781
110,H2,0.0,0.0,0.0
111,Li-Ion,0.0,0.0,0.0
111,CAES,0.0,0.0,0.0
111,PHS,52816.112,47183.888,0.0
111,H2,0.0,0.0,0.0
112,Li-Ion,0.0,0.0,0.0
112,CAES,0.0,0.0,0.0
112,PHS,26874.426,21015.801,0.0
112,H2,0.0,0.0,0.0
113,Li-Ion,0.0,0.0,0.0
113,CAES,0.0,0.0,0.0
113,PHS,24811.391,19402.507,0.0
113,H2,0.0,0.0,0.0
114,Li-Ion,0.0,0.0,0.0
114,CAES,0.0,0.0,0.0
114,PHS,18678.721,14606.76,0.0
114,H2,0.0,0.0,0.0
115,Li-Ion,0.0,0.0,0.0
115,CAES,0.0,0.0,0.0
115,PHS,3812.2951,0.0,3371.2417
115,H2,0.0,0.0,0.0
116,Li-Ion,0.0,0.0,0.0
116,CAES,0.0,0.0,0.0
116,PHS,32037.924,28034.871,0.0
116,H2,0.0,0.0,0.0
117,Li-Ion,0.0,0.0,0.0
117,CAES,0.0,0.0,0.0
117,PHS,22315.089,17450.4,0.0
117,H2,0.0,0.0,0.0
118,Li-Ion,0.0,0.0,0.0
118,CAES,0.0,0.0,0.0
118,PHS,5767.9546,0.0,5100.6463
118,H2,0.0,0.0,0.0
119,Li-Ion,0.0,0.0,0.0
119,CAES,0.0,0.0,0.0
119,PHS,53640.552,46359.448,110.8253
119,H2,0.0,0.0,0.0
120,Li-Ion,0.0,0.0,0.0
120,CAES,0.0,0.0,0.0
120,PHS,42221.629,33115.318,0.0
120,H2,0.0,0.0,0.0
121,Li-Ion,0.0,0.0,0.0
121,CAES,0.0,0.0,0.0
121,PHS,38840.992,28700.629,1891.9054
121,H2,0.0,0.0,0.0
122,Li-Ion,0.0,0.0,0.0
122,CAES,0.0,0.0,0.0
122,PHS,55548.999,44451.001,747.86548
122,H2,0.0,0.0,0.0
123,Li-Ion,0.0,0.0,0.0
123,CAES,0.0,0.0,0.0
123,PHS,55860.515,44139.485,231.57154
123,H2,0.0,0.0,0.0
124,Li-Ion,0.0,0.0,0.0
124,CAES,0.0,0.0,0.0
124,PHS,56001.807,43998.193,0.0
124,H2,0.0,0.0,0.0
125,Li-Ion,0.0,0.0,0.0
125,CAES,0.0,0.0,0.0
125,PHS,53105.646,41176.413,398.28041
125,H2,0.0,0.0,0.0
126,Li-Ion,0.0,0.0,0.0
126,CAES,0.0,0.0,0.0
126,PHS,55919.078,44080.922,0.0
126,H2,0.0,0.0,0.0
127,Li-Ion,0.0,0.0,0.0
127,CAES,0.0,0.0,0.0
127,PHS,51502.879,40275.251,0.0
127,H2,0.0,0.0,0.0
128,Li-Ion,0.0,0.0,0.0
128,CAES,0.0,0.0,0.0
128,PHS,40756.111,30083.26,2021.942
128,H2,0.0,0.0,0.0
129,Li-Ion,0.0,0.0,0.0
129,CAES,0.0,0.0,0.0
129,PHS,55113.345,44886.655,0.0
129,H2,0.0,0.0,0.0
130,Li-Ion,0.0,0.0,0.0
130,CAES,0.0,0.0,0.0
130,PHS,31440.069,21915.146,3020.4278
130,H2,0.0,0.0,0.0
131,Li-Ion,0.0,0.0,0.0
131,CAES,0.0,0.0,0.0
131,PHS,54617.852,45382.148,0.0
131,H2,0.0,0.0,0.0
132,Li-Ion,0.0,0.0,0.0
132,CAES,0.0,0.0,0.0
132,PHS,42610.439,33321.363,0.0
132,H2,0.0,0.0,0.0
133,Li-Ion,0.0,0.0,0.0
133,CAES,0.0,0.0,0.0
133,PHS,41369.195,32350.71,0.0
133,H2,0.0,0.0,0.0
134,Li-Ion,0.0,0.0,0.0
134,CAES,0.0,0.0,0.0
134,PHS,40192.73,31430.715,0.0
134,H2,0.0,0.0,0.0
135,Li-Ion,0.0,0.0,0.0
135,CAES,0.0,0.0,0.0
135,PHS,37878.905,29621.304,0.0
135,H2,0.0,0.0,0.0
136,Li-Ion,0.0,0.0,0.0
136,CAES,0.0,0.0,0.0
136,PHS,13625.821,5724.9185,5575.5187
136,H2,0.0,0.0,0.0
137,Li-Ion,0.0,0.0,0.0
137,CAES,0.0,0.0,0.0
137,PHS,53349.902,46650.098,0.0
137,H2,0.0,0.0,0.0
138,Li-Ion,0.0,0.0,0.0
138,CAES,0.0,0.0,0.0
138,PHS,4726.9017,0.0,4180.0353
138,H2,0.0,0.0,0.0
139,Li-Ion,0.0,0.0,0.0
139,CAES,0.0,0.0,0.0
139,PHS,35409.488,31386.656,0.0
139,H2,0.0,0.0,0.0
140,Li-Ion,0.0,0.0,0.0
140,CAES,0.0,0.0,0.0
140,PHS,4185.2387,0.0,3701.0386
140,H2,0.0,0.0,0.0
141,Li-Ion,0.0,0.0,0.0
141,CAES,0.0,0.0,0.0
141,PHS,36347.975,31696.973,0.0
141,H2,0.0,0.0,0.0
142,Li-Ion,0.0,0.0,0.0
142,CAES,0.0,0.0,0.0
142,PHS,27574.831,21563.518,0.0
142,H2,0.0,0.0,0.0
143,Li-Ion,0.0,0.0,0.0
143,CAES,0.0,0.0,0.0
143,PHS,34749.28,27173.937,0.0
143,H2,0.0,0.0,0.0
144,Li-Ion,0.0,0.0,0.0
144,CAES,0.0,0.0,0.0
144,PHS,42993.024,33620.545,0.0
144,H2,0.0,0.0,0.0
145,Li-Ion,0.0,0.0,0.0
145,CAES,0.0,0.0,0.0
145,PHS,48754.639,38126.127,0.0
145,H2,0.0,0.0,0.0
146,Li-Ion,0.0,0.0,0.0
146,CAES,0.0,0.0,0.0
146,PHS,48873.279,37538.326,769.61617
146,H2,0.0,0.0,0.0
147,Li-Ion,0.0,0.0,0.0
147,CAES,0.0,0.0,0.0
147,PHS,55734.805,44265.195,0.0
147,H2,0.0,0.0,0.0
148,Li-Ion,0.0,0.0,0.0
148,CAES,0.0,0.0,0.0
148,PHS,52735.275,41238.985,0.0
148,H2,0.0,0.0,0.0
149,Li-Ion,0.0,0.0,0.0
149,CAES,0.0,0.0,0.0
149,PHS,51543.95,40307.369,0.0
149,H2,0.0,0.0,0.0
150,Li-Ion,0.0,0.0,0.0
150,CAES,0.0,0.0,0.0
150,PHS,45610.214,35667.188,0.0
150,H2,0.0,0.0,0.0
151,Li-Ion,0.0,0.0,0.0
151,CAES,0.0,0.0,0.0
151,PHS,7053.3336,0.0,6237.3168
151,H2,0.0,0.0,0.0
152,Li-Ion,0.0,0.0,0.0
152,CAES,0.0,0.0,0.0
152,PHS,20486.037,15292.407,7060.1914
152,H2,0.0,0.0,0.0
153,Li-Ion,0.0,0.0,0.0
153,CAES,0.0,0.0,0.0
153,PHS,52613.142,47386.858,0.0
153,H2,0.0,0.0,0.0
154,Li-Ion,0.0,0.0,0.0
154,CAES,0.0,0.0,0.0
154,PHS,21431.294,16202.906,629.15354
154,H2,0.0,0.0,0.0
155,Li-Ion,0.0,0.0,0.0
155,CAES,0.0,0.0,0.0
155,PHS,5895.0677,0.0,5842.2069
155,H2,0.0,0.0,0.0
156,Li-Ion,0.0,0.0,0.0
156,CAES,0.0,0.0,0.0
156,PHS,53217.56,46782.44,0.0
156,H2,0.0,0.0,0.0
157,Li-Ion,0.0,0.0,0.0
157,CAES,0.0,0.0,0.0
157,PHS,30825.263,24105.356,0.0
157,H2,0.0,0.0,0.0
158,Li-Ion,0.0,0.0,0.0
158,CAES,0.0,0.0,0.0
158,PHS,29498.751,22719.557,394.05498
158,H2,0.0,0.0,0.0
159,Li-Ion,0.0,0.0,0.0
159,CAES,0.0,0.0,0.0
159,PHS,6557.8659,0.0,6193.2259
159,H2,0.0,0.0,0.0
160,Li-Ion,0.0,0.0,0.0
160,CAES,0.0,0.0,0.0
160,PHS,53043.369,46956.631,0.0
160,H2,0.0,0.0,0.0
161,Li-Ion,0.0,0.0,0.0
161,CAES,0.0,0.0,0.0
161,PHS,5020.0973,0.0,4439.3104
161,H2,0.0,0.0,0.0
162,Li-Ion,0.0,0.0,0.0
162,CAES,0.0,0.0,0.0
162,PHS,3183.2837,0.0,7254.3125
162,H2,0.0,0.0,0.0
163,Li-Ion,0.0,0.0,0.0
163,CAES,0.0,0.0,0.0
163,PHS,42047.967,39296.554,0.0
163,H2,0.0,0.0,0.0
164,Li-Ion,0.0,0.0,0.0
164,CAES,0.0,0.0,0.0
164,PHS,3005.1222,0.0,2657.4525
164,H2,0.0,0.0,0.0
165,Li-Ion,0.0,0.0,0.0
165,CAES,0.0,0.0,0.0
165,PHS,27590.823,23926.029,0.0
165,H2,0.0,0.0,0.0
166,Li-Ion,0.0,0.0,0.0
166,CAES,0.0,0.0,0.0
166,PHS,23254.755,18185.218,0.0
166,H2,0.0,0.0,0.0
167,Li-Ion,0.0,0.0,0.0
167,CAES,0.0,0.0,0.0
167,PHS,11695.911,4603.8681,5136.5996
167,H2,0.0,0.0,0.0
168,Li-Ion,0.0,0.0,0.0
168,CAES,0.0,0.0,0.0
168,PHS,54517.246,45482.754,1913.4368
168,H2,0.0,0.0,0.0
169,Li-Ion,0.0,0.0,0.0
169,CAES,0.0,0.0,0.0
169,PHS,55167.19,44832.81,0.0
169,H2,0.0,0.0,0.0
170,Li-Ion,0.0,0.0,0.0
170,CAES,0.0,0.0,0.0
170,PHS,49085.467,38384.836,0.0
170,H2,0.0,0.0,0.0
171,Li-Ion,0.0,0.0,0.0
171,CAES,0.0,0.0,0.0
171,PHS,51742.834,40462.896,0.0
171,H2,0.0,0.0,0.0
172,Li-Ion,0.0,0.0,0.0
172,CAES,0.0,0.0,0.0
172,PHS,52276.558,40880.268,0.0
172,H2,0.0,0.0,0.0
173,Li-Ion,0.0,0.0,0.0
173,CAES,0.0,0.0,0.0
173,PHS,48865.855,38213.098,0.0
173,H2,0.0,0.0,0.0
174,Li-Ion,0.0,0.0,0.0
174,CAES,0.0,0.0,0.0
174,PHS,41915.897,32778.232,0.0
174,H2,0.0,0.0,0.0
175,Li-Ion,0.0,0.0,0.0
175,CAES,0.0,0.0,0.0
175,PHS,28926.953,22620.877,0.0
175,H2,0.0,0.0,0.0
176,Li-Ion,0.0,0.0,0.0
176,CAES,0.0,0.0,0.0
176,PHS,23128.655,18086.608,0.0
176,H2,0.0,0.0,0.0
177,Li-Ion,0.0,0.0,0.0
177,CAES,0.0,0.0,0.0
177,PHS,22951.526,17948.093,0.0
177,H2,0.0,0.0,0.0
178,Li-Ion,0.0,0.0,0.0
178,CAES,0.0,0.0,0.0
178,PHS,5072.9714,0.0,4486.0673
178,H2,0.0,0.0,0.0
179,Li-Ion,0.0,0.0,0.0
179,CAES,0.0,0.0,0.0
179,PHS,44114.511,38464.611,0.0
179,H2,0.0,0.0,0.0
180,Li-Ion,0.0,0.0,0.0
180,CAES,0.0,0.0,0.0
180,PHS,5956.3489,0.0,5267.2448
180,H2,0.0,0.0,0.0
181,Li-Ion,0.0,0.0,0.0
181,CAES,0.0,0.0,0.0
181,PHS,49418.995,43303.519,0.0
181,H2,0.0,0.0,0.0
182,Li-Ion,0.0,0.0,0.0
182,CAES,0.0,0.0,0.0
