Hour,Technology,Charging power (MW),Discharging power (MW),State of charge (MWh)
1,Li-Ion,15059.19,1.6732178e-11,13965.318
1,CAES,0.0,0.0,0.0
1,PHS,0.0,0.0,0.0
1,H2,0.0,0.0,0.0
2,Li-Ion,15979.275,1.6732178e-11,28783.888
2,CAES,0.0,0.0,0.0
2,PHS,0.0,0.0,0.0
2,H2,0.0,0.0,0.0
3,Li-Ion,16398.462,1.6732178e-11,43991.197
3,CAES,0.0,0.0,0.0
3,PHS,0.0,0.0,0.0
3,H2,0.0,0.0,0.0
4,Li-Ion,16658.696,1.6732178e-11,59439.835
4,CAES,0.0,0.0,0.0
4,PHS,0.0,0.0,0.0
4,H2,0.0,0.0,0.0
5,Li-Ion,16674.182,1.6732178e-11,74902.836
5,CAES,0.0,0.0,0.0
5,PHS,0.0,0.0,0.0
5,H2,0.0,0.0,0.0
6,Li-Ion,16406.06,1.6732178e-11,90117.189
6,CAES,0.0,0.0,0.0
6,PHS,0.0,0.0,0.0
6,H2,0.0,0.0,0.0
7,Li-Ion,0.0,83571.243,0.0
7,CAES,0.0,0.0,0.0
7,PHS,99331.821,0.0,87839.888
7,H2,0.0,0.0,0.0
8,Li-Ion,93323.046,1.6732178e-11,86544.233
8,CAES,0.0,0.0,0.0
8,PHS,0.0,77677.484,0.0
8,H2,0.0,0.0,0.0
9,Li-Ion,0.0,80257.82,0.0
9,CAES,0.0,0.0,0.0
9,PHS,96125.871,0.0,85004.842
9,H2,0.0,0.0,0.0
10,Li-Ion,91751.535,1.6732178e-11,85086.873
10,CAES,0.0,0.0,0.0
10,PHS,0.0,75170.431,0.0
10,H2,0.0,0.0,0.0
11,Li-Ion,0.0,78906.32,0.0
11,CAES,0.0,0.0,0.0
11,PHS,96053.664,0.0,84940.989
11,H2,0.0,0.0,0.0
12,Li-Ion,92882.454,1.6732178e-11,86135.644
12,CAES,0.0,0.0,0.0
12,PHS,0.0,75113.965,0.0
12,H2,0.0,0.0,0.0
13,Li-Ion,0.0,79878.91,0.0
13,CAES,0.0,0.0,0.0
13,PHS,98093.391,0.0,86744.735
13,H2,0.0,0.0,0.0
14,Li-Ion,94909.465,1.6732178e-11,88015.417
14,CAES,0.0,0.0,0.0
14,PHS,0.0,76709.032,0.0
14,H2,0.0,0.0,0.0
15,Li-Ion,0.0,81622.14,0.0
15,CAES,0.0,0.0,0.0
15,PHS,99174.54,0.0,87700.803
15,H2,0.0,0.0,0.0
16,Li-Ion,94093.606,1.6732178e-11,87258.821
16,CAES,0.0,0.0,0.0
16,PHS,0.0,77554.49,0.0
16,H2,0.0,0.0,0.0
17,Li-Ion,0.0,80920.501,0.0
17,CAES,0.0,0.0,0.0
17,PHS,95313.025,0.0,84286.036
17,H2,0.0,0.0,0.0
18,Li-Ion,85416.719,1.6732178e-11,79212.206
18,CAES,0.0,0.0,0.0
18,PHS,0.0,74534.786,0.0
18,H2,0.0,0.0,0.0
19,Li-Ion,0.0,73458.378,0.0
19,CAES,0.0,0.0,0.0
19,PHS,83712.115,0.0,74027.263
19,H2,0.0,0.0,0.0
20,Li-Ion,75773.472,1.6732178e-11,70269.427
20,CAES,0.0,0.0,0.0
20,PHS,0.0,65462.874,0.0
20,H2,0.0,0.0,0.0
21,Li-Ion,0.0,65165.186,0.0
21,CAES,0.0,1.610056e-11,-2.0250595e-11
21,PHS,75508.76,0.0,66772.973
21,H2,0.0,0.0,0.0
22,Li-Ion,57946.498,1.6732178e-11,53737.372
22,CAES,0.0,-1.610056e-11,0.0
22,PHS,0.0,59047.85,0.0
22,H2,0.0,0.0,0.0
23,Li-Ion,0.0,49833.988,0.0
23,CAES,0.0,1.610056e-11,-2.0250595e-11
23,PHS,26997.257,0.0,23873.88
23,H2,0.0,0.0,0.0
24,Li-Ion,0.0,1.6732178e-11,-1.8042772e-11
24,CAES,0.0,1.610056e-11,-4.0501189e-11
24,PHS,1.7211743e-25,21111.855,0.0
24,H2,0.0,0.0,0.0
