Hour,Solar PV Generation (MW),Solar PV Curtailment (MW),Wind Generation (MW),Wind Curtailment (MW),Gas CC Generation (MW),Power from Storage and Gas CC to Storage (MW)
38,0.0,0.0,0.0,0.0,30758.742,8907.789999999994
39,0.0,0.0,0.0,0.0,30758.742,8492.161
40,0.0,0.0,0.0,0.0,30758.742,7531.1862
41,0.0,0.0,0.0,0.0,30758.742,6257.6919999999955
42,0.0,0.0,0.0,0.0,30758.742,3304.1243
43,0.0,0.0,0.0,0.0,30758.742,2608.5793
44,0.0,0.0,0.0,0.0,30758.742,3140.711000000003
45,0.0,0.0,0.0,0.0,30758.742,3440.8520000000008
46,0.0,0.0,0.0,0.0,30758.742,4275.982999999998
47,0.0,0.0,0.0,0.0,30758.742,5859.589
48,0.0,0.0,0.0,0.0,30758.742,7584.3024
49,0.0,0.0,0.0,0.0,30758.742,8951.005999999994
50,0.0,0.0,0.0,0.0,30758.742,9723.326000000001
51,0.0,0.0,0.0,0.0,30758.742,10119.966
52,0.0,0.0,0.0,0.0,30758.742,10136.525000000001
53,0.0,0.0,0.0,0.0,30758.742,9408.485
54,0.0,0.0,0.0,0.0,30758.742,8089.755000000001
55,0.0,0.0,0.0,0.0,30758.742,5820.322
56,0.0,0.0,0.0,0.0,30758.742,4267.8366
57,0.0,0.0,0.0,0.0,30758.742,4368.707999999999
58,0.0,0.0,0.0,0.0,30758.742,5316.472000000002
59,0.0,0.0,0.0,0.0,30758.742,6300.9619999999995
60,0.0,0.0,0.0,0.0,30758.742,7196.5368
61,0.0,0.0,0.0,0.0,30758.742,7702.107999999993
62,0.0,0.0,0.0,0.0,30758.742,7528.4165
63,0.0,0.0,0.0,0.0,30758.742,7138.445999999996
64,0.0,0.0,0.0,0.0,30758.742,7068.160999999998
65,0.0,0.0,0.0,0.0,30758.742,5877.8689
66,0.0,0.0,0.0,0.0,30758.742,3683.6760000000068
